iter:212, best-ub:2181044.58, best-lb:2067946.50, gap:5.1855%, time:1.12, ub:2397089.95, lb:2043960.20
iter:213, best-ub:2181044.58, best-lb:2067946.50, gap:5.1855%, time:1.13, ub:4281845.91, lb:2031486.28
iter:214, best-ub:2181044.58, best-lb:2067946.50, gap:5.1855%, time:1.14, ub:2397089.95, lb:2013410.39
iter:215, best-ub:2181044.58, best-lb:2067946.50, gap:5.1855%, time:1.15, ub:2701986.77, lb:2006866.83
iter:216, best-ub:2181044.58, best-lb:2067946.50, gap:5.1855%, time:1.16, ub:2352110.54, lb:2043817.86
iter:217, best-ub:2181044.58, best-lb:2069350.14, gap:5.1211%, time:1.17, ub:2900741.25, lb:2069350.14
iter:218, best-ub:2181044.58, best-lb:2069350.14, gap:5.1211%, time:1.18, ub:2537293.53, lb:2060966.07
iter:219, best-ub:2181044.58, best-lb:2069350.14, gap:5.1211%, time:1.19, ub:3425826.10, lb:2068886.65
iter:220, best-ub:2181044.58, best-lb:2069350.14, gap:5.1211%, time:1.20, ub:2612060.36, lb:2061520.18
iter:221, best-ub:2181044.58, best-lb:2072703.26, gap:4.9674%, time:1.20, ub:4056255.11, lb:2072703.26
iter:222, best-ub:2181044.58, best-lb:2072703.26, gap:4.9674%, time:1.21, ub:2537293.53, lb:2047243.15
iter:223, best-ub:2181044.58, best-lb:2072703.26, gap:4.9674%, time:1.22, ub:2870253.99, lb:2066049.62
iter:224, best-ub:2181044.58, best-lb:2072703.26, gap:4.9674%, time:1.23, ub:2537293.53, lb:2045530.03
iter:225, best-ub:2181044.58, best-lb:2072703.26, gap:4.9674%, time:1.24, ub:3234418.64, lb:2062256.84
iter:226, best-ub:2181044.58, best-lb:2072703.26, gap:4.9674%, time:1.25, ub:2685932.39, lb:2044717.09
iter:227, best-ub:2181044.58, best-lb:2072703.26, gap:4.9674%, time:1.25, ub:3929709.84, lb:2045325.56
iter:228, best-ub:2181044.58, best-lb:2072703.26, gap:4.9674%, time:1.26, ub:2760695.26, lb:2027499.83
iter:229, best-ub:2181044.58, best-lb:2072703.26, gap:4.9674%, time:1.27, ub:4027861.39, lb:2035451.13
iter:230, best-ub:2181044.58, best-lb:2072703.26, gap:4.9674%, time:1.28, ub:2660782.43, lb:2037625.82
iter:231, best-ub:2181044.58, best-lb:2081752.57, gap:4.5525%, time:1.29, ub:2898714.81, lb:2081752.57
iter:232, best-ub:2181044.58, best-lb:2081752.57, gap:4.5525%, time:1.30, ub:2726327.42, lb:2058554.76
iter:233, best-ub:2181044.58, best-lb:2081752.57, gap:4.5525%, time:1.30, ub:3857210.39, lb:2065831.25
