DFS:	2291633.33	2291633.33	0.0011	0.20	3	5
GRB:	2291633.33	2291633.33	14.80	0.20	3	5

HEU:	2314385.20	2314385.20	0.0004	0.20	3	6
DFS:	2291633.33	2291633.33	0.0011	0.20	3	6
GRB:	2291633.33	2291633.33	15.19	0.20	3	6

HEU:	2314385.20	2314385.20	0.0004	0.20	3	7
DFS:	2291633.33	2291633.33	0.0012	0.20	3	7
GRB:	2291633.33	2291633.33	14.42	0.20	3	7

HEU:	2314385.20	2314385.20	0.0004	0.20	3	8
DFS:	2291633.33	2291633.33	0.0011	0.20	3	8
GRB:	2291633.33	2291633.33	14.99	0.20	3	8

HEU:	2314385.20	2314385.20	0.0004	0.20	3	9
DFS:	2291633.33	2291633.33	0.0011	0.20	3	9
GRB:	2291633.33	2291633.33	14.76	0.20	3	9

HEU:	2314385.20	2314385.20	0.0004	0.20	3	10
DFS:	2291633.33	2291633.33	0.0011	0.20	3	10
GRB:	2291633.33	2291633.33	14.87	0.20	3	10

HEU:	5011128.36	5011128.36	0.0003	0.30	1	2
DFS:	4694376.52	4694376.52	0.0008	0.30	1	2
GRB:	4694376.52	4694376.52	19.47	0.30	1	2

HEU:	1097289.43	1097289.43	0.0003	0.30	1	3
DFS:	1029633.96	1029633.96	0.0033	0.30	1	3
GRB:	1029633.96	1029633.96	268.06	0.30	1	3

HEU:	323802.24	323802.24	0.0003	0.30	1	4
DFS:	305850.62	305850.62	0.0053	0.30	1	4
GRB:	305850.62	305850.62	253.10	0.30	1	4

HEU:	163763.07	163763.07	0.0004	0.30	1	5
DFS:	159508.53	159508.53	0.0084	0.30	1	5
GRB:	159508.53	159508.53	551.46	0.30	1	5

HEU:	130852.86	130852.86	0.0005	0.30	1	6
DFS:	129433.27	129433.27	0.0084	0.30	1	6
GRB:	129433.27	129433.27	548.52	0.30	1	6

HEU:	123709.38	123709.38	0.0006	0.30	1	7
DFS:	123189.92	123189.92	0.0103	0.30	1	7
GRB:	123189.92	123189.92	461.72	0.30	1	7

HEU:	122188.68	122188.68	0.0005	0.30	1	8
DFS:	121869.57	121869.57	0.0162	0.30	1	8
GRB:	121869.62	121869.55	481.73	0.30	1	8

HEU:	121879.79	121879.79	0.0005	0.30	1	9
DFS:	121599.96	121599.96	0.0297	0.30	1	9
GRB:	121595.17	121593.98	453.27	0.30	1	9

HEU:	121817.20	121817.20	0.0006	0.30	1	10
DFS:	121544.86	121544.86	0.0890	0.30	1	10
GRB:	121528.77	121528.23	454.86	0.30	1	10

HEU:	5100952.80	5100952.80	0.0002	0.30	2	2
DFS:	4800015.31	4800015.31	0.0009	0.30	2	2
GRB:	4800015.31	4800015.31	19.41	0.30	2	2

HEU:	1320667.45	1320667.45	0.0003	0.30	2	3
DFS:	1220766.16	1220766.16	0.0038	0.30	2	3
GRB:	1220766.16	1220766.16	324.40	0.30	2	3

HEU:	579407.23	579407.23	0.0003	0.30	2	4
DFS:	557306.00	557306.00	0.0082	0.30	2	4
GRB:	557306.00	557306.00	381.17	0.30	2	4

HEU:	453822.51	453822.51	0.0004	0.30	2	5
DFS:	446252.57	446252.57	0.0179	0.30	2	5
GRB:	446252.57	446252.57	386.48	0.30	2	5

HEU:	444558.57	444558.57	0.0009	0.30	2	6
DFS:	437074.61	437074.61	0.0327	0.30	2	6
GRB:	437074.61	437074.61	383.05	0.30	2	6

HEU:	444966.36	444966.36	0.0005	0.30	2	7
DFS:	437074.61	437074.61	0.0343	0.30	2	7
GRB:	437074.61	437074.61	404.63	0.30	2	7

HEU:	444966.36	444966.36	0.0005	0.30	2	8
DFS:	437074.61	437074.61	0.0354	0.30	2	8
GRB:	437074.61	437074.61	428.76	0.30	2	8

HEU:	444966.36	444966.36	0.0005	0.30	2	9
DFS:	437074.61	437074.61	0.0342	0.30	2	9
GRB:	437074.61	437074.61	413.18	0.30	2	9

HEU:	444966.36	444966.36	0.0005	0.30	2	10
DFS:	437074.61	437074.61	0.0356	0.30	2	10
GRB:	437074.61	437074.61	401.34	0.30	2	10

HEU:	6364005.73	6364005.73	0.0003	0.30	3	2
DFS:	6127605.57	6127605.57	0.0009	0.30	3	2
GRB:	6127605.57	6127605.57	19.40	0.30	3	2

HEU:	3139701.37	3139701.37	0.0003	0.30	3	3
DFS:	3089066.16	3089066.16	0.0012	0.30	3	3
GRB:	3089066.16	3089066.16	23.63	0.30	3	3

HEU:	2696479.94	2696479.94	0.0004	0.30	3	4
DFS:	2648117.83	2648117.83	0.0014	0.30	3	4
GRB:	2648117.83	2648117.83	23.03	0.30	3	4

HEU:	2676739.86	2676739.86	0.0004	0.30	3	5
DFS:	2622185.75	2622185.75	0.0018	0.30	3	5
GRB:	2622185.75	2622185.75	23.14	0.30	3	5

HEU:	2676739.86	2676739.86	0.0005	0.30	3	6
DFS:	2622185.75	2622185.75	0.0018	0.30	3	6
GRB:	2622185.75	2622185.75	23.05	0.30	3	6

HEU:	2676739.86	2676739.86	0.0005	0.30	3	7
DFS:	2622185.75	2622185.75	0.0022	0.30	3	7
GRB:	2622185.75	2622185.75	23.03	0.30	3	7

HEU:	2676739.86	2676739.86	0.0004	0.30	3	8
DFS:	2622185.75	2622185.75	0.0019	0.30	3	8
GRB:	2622185.75	2622185.75	23.13	0.30	3	8

HEU:	2676739.86	2676739.86	0.0005	0.30	3	9
DFS:	2622185.75	2622185.75	0.0019	0.30	3	9
GRB:	2622185.75	2622185.75	23.02	0.30	3	9

HEU:	2676739.86	2676739.86	0.0004	0.30	3	10
DFS:	2622185.75	2622185.75	0.0019	0.30	3	10
GRB:	2622185.75	2622185.75	23.22	0.30	3	10

diaryoff
{函数或变量 'diaryoff' 无法识别。
} 
diary off
